TowerID,Location,Operator,Band,Traffic,Uptime,Faults,Faults_Class,Uptime_Class,Traffic_per_Fault,Downtime,Fault_Severity_Index,Log_Traffic,Log_Downtime,Log_Traffic_per_Fault,Uptime_Traffic,Traffic_per_Downtime,Traffic_Squared,Uptime_Squared,Traffic_Bin,Uptime_Bin
530,Central,Operator3,1800 MHz,96.04,96.39,6,High,High Uptime,16.006666666666668,3.61,4.805,4.575123264635795,1.528227857008557,2.8336054240455555,9257.295600000001,26.60387811634349,9223.681600000002,9291.0321,Medium,High
531,Central,Operator2,2100 MHz,149.94,97.3,3,High,High Uptime,49.98,2.700000000000003,2.8500000000000014,5.016882406856722,1.3083328196501796,3.931433398947969,14589.162,55.533333333333275,22482.0036,9467.289999999999,Very High,High
532,East,Operator3,2300 MHz,99.48,106.72,2,High,High Uptime,49.74,-6.719999999999999,-2.3599999999999994,4.609958702719888,,3.9267145541711357,10616.5056,-14.803571428571432,9896.270400000001,11389.1584,High,
533,East,Operator3,2100 MHz,104.94,95.85,0,Low,High Uptime,104.94,4.150000000000006,2.075000000000003,4.66287289611638,1.638996714675646,4.66287289611638,10058.499,25.286746987951773,11012.4036,9187.222499999998,High,High
534,Central,Operator2,2300 MHz,79.76,104.75,1,Low,High Uptime,79.76,-4.75,-1.875,4.391481793444637,,4.391481793444637,8354.86,-16.79157894736842,6361.6576000000005,10972.5625,Low,
535,North,Operator3,2100 MHz,103.43,97.61,3,High,High Uptime,34.47666666666667,2.390000000000001,2.6950000000000003,4.648516990491457,1.220829921392359,3.568875203384843,10095.802300000001,43.276150627615046,10697.764900000002,9527.7121,High,High
536,Central,Operator1,1800 MHz,122.45,99.45,1,Low,High Uptime,122.45,0.5499999999999972,0.7749999999999986,4.8158362157911885,0.4382549309311534,4.8158362157911885,12177.6525,222.6363636363648,14994.0025,9890.3025,Very High,High
537,East,Operator3,800 MHz,108.42,89.84,2,High,Low Uptime,54.21,10.159999999999997,6.079999999999998,4.69519368863568,2.4123359569531644,4.011144096295953,9740.452800000001,10.671259842519689,11754.8964,8071.225600000001,High,Low
538,South,Operator1,1800 MHz,137.44,94.87,6,High,Low Uptime,22.906666666666663,5.129999999999996,5.564999999999998,4.930437018767143,1.8131947499481194,3.174157360068822,13038.9328,26.791423001949337,18889.7536,9000.316900000002,Very High,Medium
539,East,Operator3,2100 MHz,79.83,95.77,4,High,High Uptime,19.9575,4.230000000000004,4.115000000000002,4.392348183745753,1.6544112780768323,3.0424965775298753,7645.3191,18.872340425531895,6372.8288999999995,9171.892899999999,Low,High
540,Central,Operator3,800 MHz,114.82,102.12,1,Low,High Uptime,114.82,-2.1200000000000045,-0.5600000000000023,4.752037261797644,,4.752037261797644,11725.4184,-54.16037735849044,13183.632399999999,10428.494400000001,Very High,
541,Central,Operator3,800 MHz,136.7,89.54,0,Low,Low Uptime,136.7,10.459999999999994,5.229999999999997,4.9250774057346085,2.438862711286593,4.9250774057346085,12240.118,13.068833652007655,18686.889999999996,8017.411600000001,Very High,Low
542,North,Operator3,2100 MHz,89.68,93.65,2,High,Low Uptime,44.84,6.349999999999994,4.174999999999997,4.507336825639328,1.9947003132247445,3.8251570724064843,8398.532000000001,14.122834645669306,8042.502400000001,8770.3225,Medium,Medium
543,Central,Operator1,2500 MHz,109.35,91.78,0,Low,Low Uptime,109.35,8.219999999999999,4.109999999999999,4.703657132702745,2.221375037568502,4.703657132702745,10036.143,13.302919708029199,11957.422499999999,8423.5684,High,Medium
544,South,Operator1,2500 MHz,103.88,102.21,1,Low,High Uptime,103.88,-2.2099999999999937,-0.6049999999999969,4.652816839455444,,4.652816839455444,10617.574799999999,-47.00452488687796,10791.054399999999,10446.8841,High,
545,Central,Operator2,1800 MHz,76.46,96.75,0,Low,High Uptime,76.46,3.25,1.625,4.349761674086606,1.4469189829363254,4.349761674086606,7397.504999999999,23.526153846153843,5846.131599999999,9360.5625,Low,High
546,Central,Operator2,1800 MHz,120.22,95.7,1,Low,High Uptime,120.22,4.299999999999997,2.6499999999999986,4.797607076523139,1.6677068205580756,4.797607076523139,11505.054,27.95813953488374,14452.848399999999,9158.49,Very High,High
547,East,Operator3,2100 MHz,88.38,93.19,5,High,Low Uptime,17.676,6.810000000000002,5.905000000000001,4.492896943505305,2.0554049638515948,2.9272392771086904,8236.1322,12.977973568281934,7811.024399999999,8684.3761,Medium,Medium
548,East,Operator2,2100 MHz,98.44,95.37,1,Low,High Uptime,98.44,4.629999999999996,2.8149999999999977,4.599554447202456,1.7281094421515983,4.599554447202456,9388.2228,21.261339092872586,9690.4336,9095.4369,Medium,High
549,East,Operator3,800 MHz,116.18,104.6,3,High,High Uptime,38.72666666666667,-4.599999999999994,-0.7999999999999972,4.7637112141166424,,3.682022666650723,12152.428,-25.256521739130466,13497.792400000002,10941.159999999998,Very High,
550,East,Operator3,1800 MHz,122.84,85.75,1,Low,Low Uptime,122.84,14.25,7.625,4.818990409841417,2.7245795030534206,4.818990409841417,10533.53,8.620350877192983,15089.6656,7353.0625,Very High,Low
551,North,Operator1,1800 MHz,107.52,99.07,5,High,High Uptime,21.504,0.9300000000000068,2.9650000000000034,4.68693448779073,0.6575200029167977,3.113693071187556,10652.006399999998,115.6129032258056,11560.550399999998,9814.864899999999,High,High
552,North,Operator3,1800 MHz,106.69,101.92,1,Low,High Uptime,106.69,-1.9200000000000017,-0.4600000000000008,4.679256729340789,,4.679256729340789,10873.8448,-55.567708333333286,11382.756099999999,10387.6864,High,
553,North,Operator3,2500 MHz,91.86,90.86,0,Low,Low Uptime,91.86,9.14,4.57,4.531092982591775,2.316487998163037,4.531092982591775,8346.3996,10.050328227571116,8438.2596,8255.5396,Medium,Medium
554,West,Operator3,2300 MHz,69.09,103.48,5,High,High Uptime,13.818,-3.480000000000004,0.759999999999998,4.249780130512233,,2.695842657994465,7149.4332,-19.853448275862046,4773.4281,10708.110400000001,Low,
555,West,Operator2,2300 MHz,81.73,96.74,4,High,High Uptime,20.4325,3.260000000000005,3.6300000000000026,4.415582293202092,1.4492691602812802,3.064908461570774,7906.5602,25.070552147239226,6679.7929,9358.6276,Low,High
556,North,Operator1,1800 MHz,78.88,102.88,2,High,High Uptime,39.44,-2.8799999999999955,-0.4399999999999977,4.380525508547614,,3.6998193941522706,8115.174399999999,-27.388888888888932,6222.054399999999,10584.294399999999,Low,
557,North,Operator2,2100 MHz,90.08,90.25,2,High,Low Uptime,45.04,9.75,5.875,4.5117382411955385,2.3749057545736716,3.829510583853682,8129.72,9.238974358974358,8114.4064,8145.0625,Medium,Medium
558,West,Operator1,1800 MHz,71.54,106.59,2,High,High Uptime,35.77,-6.590000000000003,-2.2950000000000017,4.284138133854756,,3.6046822953131805,7625.448600000001,-10.855842185128978,5117.971600000001,11361.428100000001,Low,
559,North,Operator3,2100 MHz,50.4,93.36,2,High,Low Uptime,25.2,6.640000000000001,4.32,3.939638172461119,2.0333976031784293,3.265759410767051,4705.344,7.590361445783132,2540.16,8716.0896,Low,Medium
560,Central,Operator1,800 MHz,121.82,90.96,2,High,Low Uptime,60.91,9.040000000000006,5.520000000000003,4.810719868901253,2.306577114263584,4.12568171753114,11080.747199999998,13.475663716814148,14840.112399999998,8273.721599999999,Very High,Medium
561,North,Operator3,2100 MHz,84.21,97.09,1,Low,High Uptime,84.21,2.9099999999999966,1.9549999999999983,4.445118797839864,1.3635373739972736,4.445118797839864,8175.948899999999,28.93814432989694,7091.324099999999,9426.4681,Low,High
562,West,Operator2,2500 MHz,88.5,93.47,1,Low,Low Uptime,88.5,6.530000000000001,3.765000000000001,4.4942386252808095,2.018895041811802,4.4942386252808095,8272.095,13.55283307810107,7832.25,8736.6409,Medium,Medium
563,East,Operator3,1800 MHz,102.05,97.6,4,High,High Uptime,25.5125,2.4000000000000057,3.200000000000003,4.635214307336468,1.2237754316221174,3.2776163198908006,9960.08,42.52083333333323,10414.2025,9525.759999999998,High,High
564,North,Operator3,2300 MHz,101.89,102.33,1,Low,High Uptime,101.89,-2.3299999999999983,-0.6649999999999991,4.633660456387719,,4.633660456387719,10426.4037,-43.72961373390561,10381.5721,10471.428899999999,High,
565,North,Operator3,2100 MHz,73.5,103.36,1,Low,High Uptime,73.5,-3.3599999999999994,-1.1799999999999995,4.310799125385514,,4.310799125385514,7596.96,-21.875000000000004,5402.25,10683.2896,Low,
566,North,Operator1,800 MHz,109.85,95.28,2,High,High Uptime,54.925,4.719999999999999,3.3599999999999994,4.70817793606232,1.7439688053917064,4.024011507376193,10466.508,23.27330508474577,12067.0225,9078.278400000001,High,High
567,West,Operator3,1800 MHz,71.25,93.55,1,Low,Low Uptime,71.25,6.450000000000003,3.7250000000000014,4.2801323269925415,2.0082140323914683,4.2801323269925415,6665.4375,11.046511627906971,5076.5625,8751.602499999999,Low,Medium
568,North,Operator1,1800 MHz,113.58,102.66,0,Low,High Uptime,113.58,-2.6599999999999966,-1.3299999999999983,4.741273268980431,,4.741273268980431,11660.1228,-42.69924812030081,12900.4164,10539.0756,Very High,
569,South,Operator2,2100 MHz,128.1,95.49,2,High,High Uptime,64.05,4.510000000000005,3.2550000000000026,4.860587297852597,1.706564623164824,4.1751562049585145,12232.268999999998,28.40354767184032,16409.609999999997,9118.3401,Very High,High
570,Central,Operator3,1800 MHz,97.04,89.63,4,High,Low Uptime,24.26,10.370000000000005,7.185000000000002,4.585375558659912,2.430978307762445,3.229222116922345,8697.6952,9.35776277724204,9416.761600000002,8033.536899999999,Medium,Low
571,West,Operator3,800 MHz,99.78,101.14,1,Low,High Uptime,99.78,-1.1400000000000006,-0.0700000000000002,4.612939923252452,,4.612939923252452,10091.7492,-87.52631578947364,9956.0484,10229.2996,High,
572,West,Operator1,2500 MHz,99.68,98.36,1,Low,High Uptime,99.68,1.6400000000000006,1.3200000000000005,4.611947170267115,0.970778917158225,4.611947170267115,9804.524800000001,60.780487804878035,9936.102400000002,9674.6896,High,High
573,North,Operator1,1800 MHz,94.59,92.31,1,Low,Low Uptime,94.59,7.689999999999998,4.344999999999999,4.560068212075671,2.1621729392773004,4.560068212075671,8731.6029,12.300390117035114,8947.268100000001,8521.1361,Medium,Medium
574,West,Operator1,800 MHz,82.92,106.67,1,Low,High Uptime,82.92,-6.670000000000002,-2.835000000000001,4.4298639640880415,,4.4298639640880415,8845.0764,-12.431784107946024,6875.7264000000005,11378.4889,Low,
575,East,Operator1,2100 MHz,74.64,94.02,0,Low,Low Uptime,74.64,5.980000000000004,2.990000000000002,4.325985243790257,1.9430489167742815,4.325985243790257,7017.6528,12.481605351170561,5571.1296,8839.7604,Low,Medium
576,North,Operator1,2100 MHz,80.29,90.47,2,High,Low Uptime,40.145,9.53,5.765000000000001,4.398023007758481,2.354228326145884,3.717102413057676,7263.836300000001,8.424973767051418,6446.484100000001,8184.8209,Low,Medium
577,North,Operator1,800 MHz,90.28,94.32,1,Low,Low Uptime,90.28,5.680000000000007,3.3400000000000034,4.51393170555382,1.8991179875485553,4.51393170555382,8515.2096,15.89436619718308,8150.4784,8896.2624,Medium,Medium
578,East,Operator2,800 MHz,80.76,107.67,6,High,High Uptime,13.46,-7.670000000000002,-0.8350000000000009,4.403788126455394,,2.6713862167306184,8695.4292,-10.529335071707951,6522.177600000001,11592.8289,Low,
579,South,Operator2,2100 MHz,98.31,95.65,0,Low,High Uptime,98.31,4.349999999999994,2.174999999999997,4.598246270915267,1.677096560907914,4.598246270915267,9403.3515,22.60000000000003,9664.8561,9148.9225,Medium,High
580,North,Operator1,2500 MHz,105.09,91.84,0,Low,Low Uptime,105.09,8.159999999999997,4.079999999999998,4.66428779047118,2.2148461786860385,4.66428779047118,9651.465600000001,12.87867647058824,11043.9081,8434.5856,High,Medium
581,West,Operator1,800 MHz,92.02,93.05,4,High,Low Uptime,23.005,6.950000000000003,5.475000000000001,4.532814523795951,2.0731719286662407,3.1782621419829034,8562.461,13.240287769784167,8467.6804,8658.3025,Medium,Medium
582,Central,Operator3,800 MHz,78.35,91.65,1,Low,Low Uptime,78.35,8.349999999999994,4.674999999999997,4.373868446972418,2.235376343300595,4.373868446972418,7180.7775,9.383233532934138,6138.722499999999,8399.722500000002,Low,Medium
583,Central,Operator2,2100 MHz,84.74,100.77,2,High,High Uptime,42.37,-0.769999999999996,0.615000000000002,4.451319461169831,-1.4696759700589244,3.7697679578472747,8539.2498,-110.05194805194861,7180.8676,10154.5929,Low,
584,East,Operator2,2100 MHz,73.46,97.76,4,High,High Uptime,18.365,2.239999999999995,3.119999999999997,4.310262068444571,1.1755733298042363,2.9634673129667153,7181.4496,32.79464285714293,5396.3715999999995,9557.017600000001,Low,High
585,Central,Operator3,800 MHz,94.64,97.07,3,High,High Uptime,31.546666666666667,2.930000000000007,2.9650000000000034,4.560591142590124,1.3686394258811716,3.4826749568566493,9186.7048,32.30034129692825,8956.7296,9422.584899999998,Medium,High
586,East,Operator1,2500 MHz,65.25,100.26,4,High,High Uptime,16.3125,-0.2600000000000051,1.8699999999999972,4.193435464866331,-0.3011050927839285,2.8514287839475574,6541.965,-250.96153846153354,4257.5625,10052.0676,Low,
587,North,Operator1,1800 MHz,111.34,95.33,1,Low,High Uptime,111.34,4.670000000000002,2.835000000000001,4.721529987104287,1.7351891177396608,4.721529987104287,10614.0422,23.84154175588864,12396.5956,9087.8089,High,High
588,North,Operator1,2300 MHz,103.7,92.41,3,High,Low Uptime,34.56666666666667,7.590000000000003,5.295000000000002,4.651099117876491,2.1505987359961645,3.571408869639598,9582.917,13.6627140974967,10753.69,8539.6081,High,Medium
589,South,Operator2,800 MHz,89.93,92.45,3,High,Low Uptime,29.97666666666667,7.549999999999997,5.274999999999999,4.510089979737821,2.1459312829486685,3.433234232901138,8314.0285,11.9112582781457,8087.404900000001,8547.0025,Medium,Medium
590,North,Operator2,1800 MHz,90.59,100.19,1,Low,High Uptime,90.59,-0.1899999999999977,0.4050000000000011,4.517322095414896,-0.21072103131564976,4.517322095414896,9076.2121,-476.7894736842163,8206.5481,10038.0361,Medium,
591,East,Operator1,2500 MHz,132.65,94.79,1,Low,Low Uptime,132.65,5.209999999999994,3.104999999999997,4.895224442584928,1.8261608959453863,4.895224442584928,12573.893500000002,25.460652591170856,17596.022500000003,8985.144100000001,Very High,Medium
592,North,Operator2,2300 MHz,105.52,99.22,2,High,High Uptime,52.76,0.7800000000000011,1.3900000000000006,4.668332760945732,0.5766133643039943,3.984529696214894,10469.6944,135.28205128205107,11134.470399999998,9844.6084,High,High
593,West,Operator2,800 MHz,97.35,98.21,2,High,High Uptime,48.675,1.7900000000000065,1.8950000000000031,4.588532544835068,1.0260415958332765,3.9055017884378804,9560.743499999999,54.385474860334995,9477.0225,9645.204099999999,Medium,High
594,North,Operator1,2500 MHz,123.13,100.79,2,High,High Uptime,61.565,-0.7900000000000063,0.6049999999999969,4.821329403527856,-1.560647748264698,4.1362060163170185,12410.2727,-155.86075949366963,15160.996899999998,10158.6241,Very High,
595,West,Operator3,1800 MHz,93.73,103.21,2,High,High Uptime,46.865,-3.2099999999999937,-0.6049999999999969,4.551030739887443,,3.8683845483983164,9673.8733,-29.199376947040555,8785.3129,10652.3041,Medium,
596,South,Operator2,2100 MHz,95.49,89.64,3,High,Low Uptime,31.83,10.36,6.68,4.569439376032292,2.4300984132930052,3.4913427315135013,8559.7236,9.217181467181467,9118.3401,8035.3296,Medium,Low
597,East,Operator1,2500 MHz,135.77,100.41,4,High,High Uptime,33.9425,-0.4099999999999966,1.7950000000000017,4.9183006828934595,-0.5276327420823661,3.5537038533769243,13632.665700000001,-331.1463414634174,18433.4929,10082.168099999999,Very High,
598,North,Operator2,2300 MHz,112.13,97.63,4,High,High Uptime,28.0325,2.3700000000000045,3.1850000000000023,4.728537599938376,1.2149127443642715,3.368415892137776,10947.2519,47.31223628691974,12573.1369,9531.616899999999,High,High
599,Central,Operator3,1800 MHz,130.81,95.27,3,High,High Uptime,43.60333333333333,4.730000000000004,3.865000000000002,4.881361491724374,1.745715530726649,3.7978085946487874,12462.2687,27.655391120507378,17111.256100000002,9076.372899999998,Very High,High
600,Central,Operator1,800 MHz,97.47,96.33,1,Low,High Uptime,97.47,3.6700000000000017,2.335000000000001,4.589751933259711,1.5411590716808063,4.589751933259711,9389.2851,26.55858310626702,9500.4009,9279.4689,Medium,High
601,South,Operator2,2300 MHz,125.11,94.13,1,Low,Low Uptime,125.11,5.8700000000000045,3.4350000000000023,4.837154541967783,1.9271641062342586,4.837154541967783,11776.604299999999,21.31345826235092,15652.5121,8860.4569,Very High,Medium
602,North,Operator3,2500 MHz,81.4,91.6,2,High,Low Uptime,40.7,8.400000000000006,5.200000000000003,4.411585436915426,2.240709689275959,3.7305011288047556,7456.24,9.690476190476184,6625.960000000001,8390.56,Low,Medium
603,North,Operator1,1800 MHz,101.21,98.64,1,Low,High Uptime,101.21,1.3599999999999994,1.1799999999999995,4.627029520340985,0.8586616190375185,4.627029520340985,9983.3544,74.41911764705885,10243.4641,9729.8496,High,High
604,North,Operator1,1800 MHz,114.86,97.18,1,Low,High Uptime,114.86,2.819999999999993,1.9099999999999968,4.752382565668478,1.340250422618482,4.752382565668478,11162.0948,40.730496453900805,13192.8196,9443.952400000002,Very High,High
605,North,Operator3,1800 MHz,81.36,87.38,2,High,Low Uptime,40.68,12.620000000000005,7.310000000000002,4.411099882159588,2.6115393007213665,3.7300213974451113,7109.2368,6.446909667194927,6619.4496,7635.264399999999,Low,Low
606,East,Operator2,2300 MHz,78.21,84.75,2,High,Low Uptime,39.105,15.25,8.625,4.372102553476188,2.7880929087757464,3.6915010148188876,6628.2975,5.128524590163934,6116.804099999999,7182.5625,Low,Low
607,West,Operator3,2500 MHz,76.07,103.25,4,High,High Uptime,19.0175,-3.25,0.375,4.344714099789901,,2.9966068909646517,7854.227499999999,-23.406153846153845,5786.644899999999,10660.5625,Low,
608,North,Operator2,1800 MHz,89.89,88.2,2,High,Low Uptime,44.945,11.799999999999995,6.899999999999999,4.509649984130679,2.549445170925571,3.827445028952848,7928.298000000001,7.617796610169495,8080.2121,7779.240000000001,Medium,Low
609,North,Operator3,800 MHz,93.98,91.72,2,High,Low Uptime,46.99,8.280000000000001,5.140000000000001,4.553666343120976,2.2278615467981093,3.870992655870154,8619.8456,11.350241545893718,8832.2404,8412.5584,Medium,Medium
610,North,Operator3,2300 MHz,96.25,93.54,1,Low,Low Uptime,96.25,6.459999999999994,3.729999999999997,4.577284982498556,2.0095554142156686,4.577284982498556,9003.225,14.899380804953575,9264.0625,8749.731600000001,Medium,Medium
611,East,Operator3,2300 MHz,110.28,90.78,4,High,Low Uptime,27.57,9.22,6.609999999999999,4.712049547615187,2.3243465847755584,3.3523572162426816,10011.2184,11.960954446854663,12161.6784,8241.0084,High,Medium
612,Central,Operator3,2300 MHz,115.94,91.41,2,High,Low Uptime,57.97,8.590000000000003,5.295000000000002,4.761660982747524,2.260720888895347,4.077028840012413,10598.0754,13.497089639115245,13442.0836,8355.7881,Very High,Medium
613,South,Operator1,2500 MHz,91.6,96.67,2,High,High Uptime,45.8,3.3299999999999983,2.664999999999999,4.528289141652134,1.465567542014398,3.8458832029236008,8854.972,27.50750750750752,8390.56,9345.0889,Medium,High
614,Central,Operator1,2500 MHz,91.23,95.94,1,Low,High Uptime,91.23,4.060000000000002,2.530000000000001,4.524285457247627,1.6213664832993746,4.524285457247627,8752.6062,22.470443349753683,8322.912900000001,9204.4836,Medium,High
615,South,Operator1,2500 MHz,144.59,97.06,1,Low,High Uptime,144.59,2.9399999999999977,1.9699999999999989,4.9807944520852345,1.3711807233098419,4.9807944520852345,14033.905400000001,49.180272108843575,20906.2681,9420.643600000001,Very High,High
616,North,Operator2,2100 MHz,99.79,89.72,1,Low,Low Uptime,99.79,10.28,5.640000000000001,4.613039144366787,2.423031246069913,4.613039144366787,8953.158800000001,9.707198443579768,9958.044100000001,8049.6784,High,Low
617,South,Operator3,1800 MHz,98.89,93.16,1,Low,Low Uptime,98.89,6.840000000000003,3.9200000000000017,4.604069580544058,2.0592388343623167,4.604069580544058,9212.5924,14.45760233918128,9779.2321,8678.7856,Medium,Medium
618,East,Operator1,800 MHz,93.99,98.42,3,High,High Uptime,31.33,1.5799999999999983,2.289999999999999,4.553771622902091,0.9477893989335253,3.4759955917373415,9250.495799999999,59.48734177215196,8834.120099999998,9686.4964,Medium,High
619,East,Operator2,800 MHz,107.76,90.31,2,High,Low Uptime,53.88,9.689999999999998,5.844999999999999,4.68914361976427,2.3693087250369533,4.005148983417629,9731.805600000002,11.12074303405573,11612.217600000002,8155.896100000001,High,Medium
620,Central,Operator1,800 MHz,93.31,87.05,0,Low,Low Uptime,93.31,12.950000000000005,6.475000000000001,4.546587228555794,2.635479508267375,4.546587228555794,8122.6355,7.205405405405403,8706.7561,7577.702499999999,Medium,Low
621,Central,Operator3,2300 MHz,62.6,93.82,2,High,Low Uptime,31.3,6.180000000000007,4.090000000000003,4.152613470346076,1.9712993830601337,3.475067230228611,5873.132,10.129449838187691,3918.76,8802.192399999998,Low,Medium
622,East,Operator3,1800 MHz,66.22,92.75,1,Low,Low Uptime,66.22,7.25,4.125,4.20797082229696,2.1102132003465894,4.20797082229696,6141.905,9.133793103448276,4385.0884,8602.5625,Low,Medium
623,South,Operator2,800 MHz,112.44,97.38,7,High,High Uptime,16.062857142857144,2.6200000000000045,4.810000000000002,4.731274062783817,1.286474025837681,2.8369040041756217,10949.4072,42.91603053435107,12642.7536,9482.864399999999,High,High
624,South,Operator3,1800 MHz,99.07,84.62,1,Low,Low Uptime,99.07,15.379999999999995,8.189999999999998,4.605869941102364,2.796061078424923,4.605869941102364,8383.3034,6.441482444733421,9814.864899999999,7160.544400000001,Medium,Low
625,East,Operator1,2300 MHz,126.91,97.43,2,High,High Uptime,63.455,2.569999999999993,2.2849999999999966,4.8513268916113015,1.2725655957915458,4.165967305895068,12364.8413,49.38132295719857,16106.148099999999,9492.604900000002,Very High,High
626,South,Operator3,2500 MHz,124.25,99.89,1,Low,High Uptime,124.25,0.1099999999999994,0.5549999999999997,4.830311739964974,0.10436001532424223,4.830311739964974,12411.3325,1129.5454545454606,15438.0625,9978.0121,Very High,High
627,West,Operator3,2500 MHz,67.26,97.36,1,Low,High Uptime,67.26,2.640000000000001,1.8200000000000005,4.223323943478561,1.2919836816486496,4.223323943478561,6548.4336,25.47727272727272,4523.9076000000005,9478.9696,Low,High
628,East,Operator1,2500 MHz,121.01,98.11,3,High,High Uptime,40.336666666666666,1.8900000000000008,2.4450000000000003,4.8041030085872425,1.061256502124341,3.7217499188465712,11872.2911,64.026455026455,14643.420100000001,9625.5721,Very High,High
629,South,Operator1,1800 MHz,114.82,94.21,2,High,Low Uptime,57.41,5.790000000000006,3.895000000000003,4.752037261797644,1.9154509415706056,4.067487108052218,10817.1922,19.83074265975818,13183.632399999999,8875.524099999999,Very High,Medium
630,Central,Operator1,2100 MHz,93.14,92.79,2,High,Low Uptime,46.57,7.209999999999994,4.604999999999997,4.544783035972996,2.105352923464336,3.86220231044419,8642.4606,12.918169209431356,8675.0596,8609.984100000001,Medium,Medium
631,South,Operator3,2100 MHz,85.14,89.8,2,High,Low Uptime,42.57,10.200000000000005,6.100000000000001,4.455973879625964,2.415913778301049,3.7743688401293505,7645.572,8.347058823529409,7248.8196,8064.039999999999,Low,Low
632,North,Operator1,2100 MHz,82.68,89.83,1,Low,Low Uptime,82.68,10.170000000000002,5.585000000000001,4.427000000316613,2.4132316130811096,4.427000000316613,7427.1444,8.129793510324482,6835.982400000001,8069.4289,Low,Low
633,South,Operator2,2300 MHz,105.46,100.25,0,Low,High Uptime,105.46,-0.25,-0.125,4.667769327744611,-0.2876820724517809,4.667769327744611,10572.365,-421.84,11121.811599999999,10050.0625,High,
634,West,Operator1,800 MHz,128.11,92.48,0,Low,Low Uptime,128.11,7.519999999999996,3.759999999999998,4.860664754186627,2.142416340841224,4.860664754186627,11847.612800000003,17.03590425531916,16412.172100000003,8552.5504,Very High,Medium
635,South,Operator1,2500 MHz,112.56,99.43,3,High,High Uptime,37.52,0.5699999999999932,1.7849999999999966,4.732331331604771,0.45107561936021234,3.651177586929925,11191.840800000002,197.4736842105287,12669.7536,9886.324900000001,High,High
636,Central,Operator3,1800 MHz,100.14,95.55,2,High,High Uptime,50.07,4.450000000000003,3.2250000000000014,4.616505695651837,1.695615608675153,3.9331972406595526,9568.377,22.50337078651684,10028.0196,9129.8025,High,High
637,South,Operator1,1800 MHz,115.25,83.9,1,Low,Low Uptime,115.25,16.099999999999994,8.549999999999997,4.755743044467465,2.839078463508614,4.755743044467465,9669.475,7.158385093167705,13282.5625,7039.210000000001,Very High,Low
638,East,Operator1,2100 MHz,114.59,98.39,3,High,High Uptime,38.196666666666665,1.6099999999999994,2.305,4.750049447306176,0.9593502213346018,3.6685917091672144,11274.5101,71.1739130434783,13130.868100000002,9680.5921,Very High,High
639,South,Operator3,2500 MHz,100.62,90.78,1,Low,Low Uptime,100.62,9.22,5.109999999999999,4.621240366165586,2.3243465847755584,4.621240366165586,9134.2836,10.913232104121475,10124.3844,8241.0084,High,Medium
640,East,Operator1,2300 MHz,112.24,101.55,1,Low,High Uptime,112.24,-1.5499999999999972,-0.2749999999999986,4.7295094602436984,,4.7295094602436984,11397.972,-72.41290322580659,12597.817599999998,10312.4025,High,
641,Central,Operator2,2100 MHz,115.11,90.01,1,Low,Low Uptime,115.11,9.989999999999997,5.494999999999997,4.7545380176389145,2.3969857684155293,4.7545380176389145,10361.0511,11.522522522522527,13250.3121,8101.800100000001,Very High,Medium
642,West,Operator3,1800 MHz,70.95,89.08,5,High,Low Uptime,14.19,10.920000000000002,7.960000000000001,4.2759714333333765,2.4782176616372036,2.7206373166076814,6320.226000000001,6.497252747252746,5033.9025,7935.2464,Low,Low
643,Central,Operator3,2100 MHz,71.18,98.08,1,Low,High Uptime,71.18,1.9200000000000017,1.4600000000000009,4.279162999214642,1.0715836162801908,4.279162999214642,6981.334400000001,37.072916666666636,5066.592400000001,9619.6864,Low,High
644,Central,Operator2,2500 MHz,104.82,90.97,3,High,Low Uptime,34.94,9.03,6.015000000000001,4.661739537475985,2.305580601973844,3.581850881355413,9535.4754,11.60797342192691,10987.232399999999,8275.5409,High,Medium
645,East,Operator2,2100 MHz,82.52,90.51,1,Low,Low Uptime,82.52,9.489999999999997,5.244999999999997,4.425086124134328,2.3504224224082053,4.425086124134328,7468.8852,8.695468914647,6809.550399999999,8192.0601,Low,Medium
646,North,Operator1,1800 MHz,106.7,98.59,2,High,High Uptime,53.35,1.4099999999999966,1.7049999999999983,4.679349584162343,0.8796267475025622,3.9954446135672184,10519.553,75.67375886524842,11384.890000000001,9719.9881,High,High
647,South,Operator3,800 MHz,97.92,93.31,3,High,Low Uptime,32.64,6.689999999999998,4.844999999999999,4.594311442653216,2.039920783517552,3.5157158351047473,9136.915200000001,14.636771300448435,9588.3264,8706.7561,Medium,Medium
648,West,Operator3,800 MHz,89.02,93.68,3,High,Low Uptime,29.67333333333333,6.319999999999993,4.659999999999997,4.500031867864786,1.9906103279732192,3.4233936560592126,8339.3936,14.085443037974699,7924.560399999999,8775.942400000002,Medium,Medium
649,South,Operator2,1800 MHz,91.07,97.28,2,High,High Uptime,45.535,2.719999999999999,2.3599999999999994,4.522549157299754,1.3137236682850548,3.8402047176376737,8859.2896,33.48161764705883,8293.744899999998,9463.3984,Medium,High
650,East,Operator3,1800 MHz,85.56,100.32,1,Low,High Uptime,85.56,-0.3199999999999932,0.3400000000000034,4.460837815098171,-0.38566248081197463,4.460837815098171,8583.3792,-267.3750000000057,7320.5136,10064.102399999998,Medium,
