Flight No.,Date and Time (UTC),Payload,Payload Mass,Orbit,Customer,Launch Outcome,Booster Landing,Launch Sites,"Versions, Boosters"
121,"6 June 2021,04:26[199]",SXM-8[200],"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1061.3
122,"17 June 2021,16:09:35[202]",GPS III-05 (Neil Armstrong)[64][204],"4,331 kg (9,548 lb)[205]",MEO,USSF[53],Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1062.2[203]
123,"30 June 2021,19:31[211]",Transporter-2: (88 payloads Smallsat Rideshare),Unknown[d],SSO,Various,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺ B1060.8
124,"29 August 2021,07:14:49[216]",SpaceX CRS-23(Dragon C208.2 ♺ ),"~2,200 kg (4,900 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1061.4
125,"14 September 2021,03:55:50[219]","Starlink Group 2-1 (v1.5 L1, 51 satellites)[221][222]","~13,260 kg (29,230 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1049.10[220]
126,"16 September 2021,00:02:56[223]",Inspiration4(Crew Dragon C207.2 Resilience ♺ ),"~12,519 kg (27,600 lb)",LEO,Jared Isaacman[note 1][225][226],Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1062.3[224]
127,"11 November 2021,02:03:31[232]",Crew-3(Crew Dragon C210.1 Endurance),"~13,000 kg (29,000 lb)[234]",LEO (ISS),NASA (CTS)[19],Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1067.2[233]
128,"13 November 2021,12:19[236]",Starlink Group 4-1 (53 satellites)[238],"~15,635 kg (34,469 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1058.9[237]
129,"24 November 2021,06:21[240]",Double Asteroid Redirection Test (DART)[242],"624 kg (1,376 lb)",Heliocentric,NASA (LSP),Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1063.3[241]
130,"2 December 2021,23:12[246]",Starlink Group 4-3 (48 satellites)SXRS-2: BlackSky Global (2 sats)[248],"~14,500 kg (32,000 lb)",LEO,"SpaceXSpaceflight, Inc. (BlackSky Global)",Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1060.9[247]
131,"9 December 2021,06:00[252]",Imaging X-ray Polarimetry Explorer (IXPE)[253],325 kg (717 lb),LEO,NASA (LSP),Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1061.5
132,"18 December 2021,12:41[256]",Starlink Group 4-4(52 satellites)[257],"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1051.11
133,"19 December 2021,03:58[258]",Türksat 5B[259],"4,500 kg (9,900 lb)",GTO,Türksat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1067.3
134,"21 December 2021,10:06[262]",SpaceX CRS-24(Dragon C209.2 ♺ ),"2,989 kg (6,590 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success[e](drone ship),"KSC,LC-39A",F9 B5 B1069.1
135,"6 January 2022,21:49[268][269]",Starlink Group 4-5(49 satellites)[270],"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1062.4
136,"13 January 2022,15:25:38[271]",Transporter-3: (105 payloads Smallsat Rideshare)[272],Unknown[d],SSO,Various,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺ B1058.10
137,"19 January 2022,02:02:40[278]",Starlink Group 4-6(49 satellites),"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1060.10
138,"31 January 2022,23:11[280]",CSG-2,"2,205 kg (4,861 lb)",SSO,ASI,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺ B1052.3
139,"2 February 2022,20:27[283]",NROL-87,Classified,SSO,NRO,Success[284],Success(ground pad),"VSFB,SLC-4E",F9 B5 B1071.1
140,"3 February 2022,18:13[286]",Starlink Group 4-7(49 satellites),"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1061.6
141,"21 February 2022,14:44[289]",Starlink Group 4-8 (46 satellites),"~13,600 kg (30,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1058.11
142,"25 February 2022,17:12[291]",Starlink Group 4-11 (50 satellites)[292],"~14,750 kg (32,520 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1063.4
143,"3 March 2022,14:25[293]",Starlink Group 4-9 (47 satellites),"~13,900 kg (30,600 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1060.11
144,"9 March 2022,13:45[294]",Starlink Group 4-10(48 satellites),"~14,160 kg (31,220 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1052.4[295]
145,"19 March 2022,04:42[296]",Starlink Group 4-12 (53 satellites)[297],"~16,250 kg (35,830 lb)[298]",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1051.12
146,"1 April 2022,16:24[301]",Transporter-4: (40 payloads Smallsat Rideshare),Unknown[d],SSO,Various,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1061.7
147,"8 April 2022,[304][305]15:17:52",Axiom-1(Crew Dragon C206.3 Endeavour ♺ )[305],"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1062.5
148,"17 April 2022,[307]13:13:12",NROL-85 (Intruder 13A (NOSS-3 9A) and Intruder 13B (NOSS-3 9B))[308],Classified,LEO,NRO,Success[309],Success(ground pad),"VSFB,SLC-4E",F9 B5 ♺ B1071.2
149,"21 April 2022,17:51[313]",Starlink Group 4-14 (53 satellites),"~16,250 kg (35,830 lb)[298]",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1060.12
150,"27 April 2022,07:52[314]",Crew-4[109](Crew Dragon C212.1 Freedom)[316],"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[19],Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1067.4[315]
151,"29 April 2022,21:27[318]",Starlink Group 4-16 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1062.6
152,"6 May 2022,09:46[319]",Starlink Group 4-17 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1058.12
153,"13 May 2022,22:07[320]",Starlink Group 4-13 (53 satellites)[321],"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1063.5
154,"14 May 2022,20:40[322]",Starlink Group 4-15 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 B1073.1
155,"18 May 2022,10:59[323]",Starlink Group 4-18 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1052.5
156,"25 May 2022,18:35[324]",Transporter-5: (59 payloads Smallsat Rideshare),Unknown[d],SSO,Various,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺ B1061.8[325]
157,"8 June 2022,21:03[327]",Nilesat-301[328],"~4,100 kg (9,000 lb)[329]",GTO,Nilesat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1062.7[327]
158,"17 June 2022,16:09[330]",Starlink Group 4-19 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1060.13[330]
159,"18 June 2022,[332]14:19[333]",SARah 1[334],"~4,000 kg (8,800 lb)[335]",SSO,German Intelligence Service,Success[336],Success(ground pad),"VSFB,SLC-4E",F9 B5 ♺ B1071.3
160,"19 June 2022,04:27[338]",Globalstar-2 M087 (FM15)[339]USA 328-331[340][341],"~700 kg (1,500 lb)(excluding secret payloads)",LEO,GlobalstarUnknown US Government Agency,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1061.9[338]
161,"29 June 2022,21:04[344]",SES-22,"~3,500 kg (7,700 lb)",GTO,SES,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1073.2[344]
162,"7 July 2022,13:11[346]",Starlink Group 4-21 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1058.13[347]
163,"11 July 2022,01:39[348]",Starlink Group 3-1 (46 satellites)[349],"~14,100 kg (31,100 lb)[350]",SSO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1063.6
164,"15 July 2022,00:44:22[351]",SpaceX CRS-25(Dragon C208.3 ♺ )[352],"2,668 kg (5,881 lb)[351](excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1067.5
165,"17 July 2022,14:20[353][354]",Starlink Group 4-22 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1051.13[354]
166,"22 July 2022,17:39[267]",Starlink Group 3-2 (46 satellites)[356],"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1071.4
167,"24 July 2022,13:38[357]",Starlink Group 4-25 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1062.8
168,"4 August 2022,23:08[358]",Danuri (Korea Pathfinder Lunar Orbiter)[359],"~679 kg (1,497 lb)[360]",Ballistic lunar transfer (BLT),KARI,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1052.6
169,"10 August 2022,02:14[363]",Starlink Group 4-26[365] (52 satellites),"~16,000 kg (35,000 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1073.3[364]
170,"12 August 2022,[366]21:40:20[367]",Starlink Group 3-3[368] (46 satellites),"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1061.10
171,"19 August 2022,19:21:20[369]",Starlink Group 4-27[370] (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1062.9
172,"28 August 2022,03:41[300]",Starlink Group 4-23[372] (54 satellites)[373],"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1069.2[371]
173,"31 August 2022,05:40[375]",Starlink Group 3-4[376] (46 satellites),"~14,200 kg (31,300 lb)",SSO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1063.7
174,"5 September 2022,02:09[377]",Starlink Group 4-20 (51 satellites) Sherpa-LTC2,"~16,000 kg (35,000 lb)[378][379]",LEO,SpaceXSpaceflight Industries,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1052.7
175,"11 September 2022,01:20[380]",Starlink Group 4-2[381] (34 satellites)BlueWalker-3,"~11,938 kg (26,319 lb)",LEO,SpaceXAST SpaceMobile,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1058.14
176,"19 September 2022,00:18[385]",Starlink Group 4-34 (54 satellites)[387],"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1067.6[386]
177,"24 September 2022,23:32[388]",Starlink Group 4-35 (52 satellites)[390],"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1073.4[389]
178,"5 October 2022,16:00[391]",Crew-5[109](Crew Dragon C210.2 Endurance ♺ ),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[19],Success,Success(drone ship),"KSC,LC-39A",F9 B5 B1077.1
179,"5 October 2022,23:10[394]",Starlink Group 4-29 (52 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1071.5
180,"8 October 2022,23:05[395]",Galaxy 33 and Galaxy 34 (2 satellites)[397],"7,350 kg (16,200 lb)",GTO[398],Intelsat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1060.14[396]
181,"15 October 2022,05:22[402]",Hotbird 13F,"~4,501 kg (9,923 lb)",GTO,Eutelsat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1069.3
182,"20 October 2022,14:50[406]",Starlink Group 4-36 (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1062.10[407]
183,"28 October 2022,01:14:10[409]",Starlink Group 4-31[410] (53 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺ B1063.8
FH 4,"1 November 2022,13:41[411]",USSF-44 (Shepherd Demonstration & LDPE-2)[412],"~3,750 kg (8,270 lb)",GEO,"USSF, Millennium Space Systems and Lockheed Martin Space",Success,No attempt,"KSC,LC-39A",Falcon Heavy B5 B1066 (core)
184,"3 November 2022,05:22[417]",Hotbird 13G,"~4,500 kg (9,900 lb)",GTO,Eutelsat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1067.7
185,"12 November 2022,16:06[418]",Galaxy 31 and Galaxy 32 (2 satellites),"~6,600 kg (14,600 lb)",GTO,Intelsat,Success,No attempt,"CCSFS,SLC-40",F9 B5 ♺ B1051.14
186,"23 November 2022,02:57[420]",Eutelsat 10B,"5,500 kg (12,100 lb)[422]",GTO,Eutelsat,Success,No attempt,"CCSFS,SLC-40",F9 B5 ♺ B1049.11[421]
187,"26 November 2022,19:20[423]",SpaceX CRS-26(Dragon C211.1)[424],"3,528 kg (7,778 lb)[425]",LEO (ISS),NASA (CRS),Success,Success(drone ship),"KSC,LC-39A",F9 B5 B1076.1
188,"8 December 2022,22:27[426]",OneWeb Flight #15 / SpaceX Flight 1 (40 satellites),"6,000 kg (13,000 lb)",Polar LEO,OneWeb,Success,Success(ground pad),"KSC,LC-39A",F9 B5 ♺ B1069.4
189,"11 December 2022,07:38[429]",Hakuto-R Mission 1[430]Emirates Lunar MissionLunar Flashlight[431],"~1,000 kg (2,200 lb)[432][433]",Ballistic lunar transfer (BLT),ispace MBRSC JAXA NASA,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺ B1073.5
190,"16 December 2022,11:46[437]",Surface Water and Ocean Topography (SWOT)[438],"~2,200 kg (4,900 lb)[439]",LEO,NASA/CNES,Success,Success(ground pad),"VSFB,SLC-4E",F9 B5 ♺ B1071.6
191,"16 December 2022,22:48[441]",O3b mPOWER 1 & 2,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1067.8
192,"17 December 2022,21:32[441]",Starlink Group 4-37[444] (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1058.15
193,"28 December 2022,09:34[445]",Starlink Group 5-1 (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1062.11
194,"30 December 2022,07:38[448]",EROS-C3[449],~400 kg (880 lb),Retrograde LEO,ImageSat International,Success,Success(ground pad),"VSFB,SLC-4E",F9 B5 ♺ B1061.11
195,"3 January 2023,14:56[452]",Transporter-6: (114 payloads Smallsat Rideshare),Unknown[d],SSO,Various,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺ B1060.15[453]
196,"10 January 2023,04:50[457]",OneWeb Flight #16 / SpaceX Flight 2[428][458] (40 satellites)[459],"6,000 kg (13,000 lb)",Polar LEO,OneWeb,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺ B1076.2
FH 5,"15 January 2023,22:56[460]",USSF-67 (CBAS-2 & LDPE-3A)[461],"~3,750 kg (8,270 lb)",GEO,USSF,Success,No attempt,"KSC,LC-39A",Falcon Heavy B5 B1070 (core)
197,"18 January 2023,12:24[465]",GPS III-06 (Amelia Earhart)[64][204],"4,352 kg (9,595 lb)",MEO,USSF[53],Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1077.2
198,"19 January 2023,15:43[466]",Starlink Group 2-4 (51 satellites),"15,800 kg (34,800 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5B1075.1
199,"26 January 2023,09:32[467]",Starlink Group 5-2 (56 satellites),"~17,400 kg (38,400 lb)[6]",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺B1067.9
200,"31 January 2023,16:15[468]",Starlink Group 2-6[470] (49 satellites)ION SCV009 Eclectic Elena[471],"~15,200 kg (33,500 lb)",LEO,SpaceXD-Orbit,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺B1071.7[469]
201,"2 February 2023,07:58[468]",Starlink Group 5-3 (53 satellites)[472],"16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺B1069.5
202,"7 February 2023,01:32[473]",Amazonas Nexus,"4,146 kg (9,140 lb)[475]",GTO,Hispasat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺B1073.6[474]
203,"12 February 2023,05:10[479]",Starlink Group 5-4 (55 satellites)[481],"17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺B1062.12[480]
204,"17 February 2023,19:12[479]",Starlink Group 2-5 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺B1063.9[483]
205,"18 February 2023,03:59[484]",Inmarsat-6 F2[486][487],"5,470 kg (12,060 lb)[484]",GTO,Inmarsat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺B1077.3[485]
206,"27 February 2023,23:13[490]",Starlink Group 6-1[492] (21 V2 Mini satellites)[493],"~16,900 kg (37,300 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺B1076.3[491]
207,"2 March 2023,05:34[497]",Crew-6(Crew Dragon C206.4 Endeavour ♺ )[498],"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[19],Success,Success(drone ship),"KSC,LC-39A",F9 B5B1078.1
208,"3 March 2023,18:38[490]",Starlink Group 2-7[499] (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺B1061.12
209,"9 March 2023,19:13[500]",OneWeb #17 / SpaceX OneWeb-3 (40 satellites)[428][458],"6,000 kg (13,000 lb)",LEO,OneWeb,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺B1062.13
210,"15 March 2023,00:30[501]",SpaceX CRS-27(Dragon C209.3 ♺)[503],"2,852 kg (6,288 lb)",LEO (ISS),NASA (CRS),Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺B1073.7[502]
211,"17 March 2023,19:26[506]",Starlink Group 2-8 (52 satellites),"~16,200 kg (35,700 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5 ♺B1071.8
212,"17 March 2023,23:38[506]",SES-18 and SES-19,"~7,000 kg (15,000 lb)",GTO,SES,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺B1069.6
213,"24 March 2023,15:43[509]",Starlink Group 5-5[511] (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺B1067.10[510]
214,29 March 202320:01[512],Starlink Group 5-10 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺B1077.4
215,2 April 202314:29[513],Transport and Tracking Layer (Tranche 0A) (8 Transport and 2 Tracking Layer Satellites),Unknown,LEO,SDA,Success,Success(landing zone),"VSFB,SLC-4E",F9 B5 ♺B1075.2[514]
